CITY,Risk_Flag
Rewa,0
Parbhani,0
Alappuzha,0
Bhubaneswar,1
Tiruchirappalli[10],1
Jalgaon,0
Tiruppur,0
Jamnagar,0
Kota[6],0
Karimnagar,0
Hajipur[31],0
Adoni,0
Erode[17],0
Kollam,0
Madurai,1
Anantapuram[24],0
Kamarhati,0
Bhusawal,1
Sirsa,0
Amaravati,0
Secunderabad,0
Ahmedabad,0
Ajmer,0
Ongole,0
Miryalaguda,0
Erode[17],0
Ambattur,0
Indore,0
Pondicherry,1
Shimoga,0
Chennai,0
Gulbarga,0
Khammam,0
Madurai,0
Saharanpur,0
Gopalpur,0
Amravati,0
Udupi,0
Howrah,0
Aurangabad[39],0
Hospet,0
Shimla,0
Khandwa,1
Bidhannagar,0
Bellary,1
Danapur,1
Purnia[26],0
Bijapur,0
Patiala,0
Malda,0
Sagar,0
Durgapur,0
Junagadh,0
Singrauli,0
Agartala,0
Thanjavur,1
Hindupur,1
Naihati,0
North_Dumdum,1
Panchkula,0
Anantapur,0
Serampore,1
Bathinda,0
Nadiad,0
Kanpur,0
Haridwar,0
Berhampur,0
Jamshedpur,0
Ongole,0
Hyderabad,0
Bidar,0
Kottayam,0
Solapur,0
Anantapuram[24],0
Suryapet,1
Aizawl,0
Tiruppur,0
Durgapur,0
Asansol,0
Sirsa,0
Amravati,1
Deoghar,1
Chennai,1
Eluru[25],0
Ulhasnagar,0
Aligarh,0
South_Dumdum,0
Indore,0
Berhampore,0
Kottayam,0
Ongole,0
Sagar,1
Gandhinagar,0
Sonipat,1
Muzaffarpur,0
Raichur,0
Rajpur_Sonarpur,0
Jamnagar,0
Ambattur,0
Ambarnath,1
Katihar,0
Kozhikode,0
Vellore,0
Malegaon,0
Kochi,0
Nagaon,0
North_Dumdum,1
Gopalpur,0
North_Dumdum,0
Nagpur,0
Srinagar,0
Malda,0
Davanagere,0
Bhagalpur,0
Siwan[32],0
Anantapur,1
Nagaon,1
Meerut,0
Dindigul,1
Bhatpara,0
Ghaziabad,1
Bhagalpur,0
Kulti,0
Chapra,0
Dibrugarh,0
Gandhinagar,0
Panihati,0
Bhiwandi,0
Morbi,1
Shimla,0
Parbhani,1
Kalyan-Dombivli,1
Gorakhpur,0
Saharanpur,0
Bellary,0
Panvel,0
Siliguri,0
Bongaigaon,0
Patna,0
Karimnagar,0
Ramgarh,0
Ozhukarai,0
Mirzapur,1
Akola,0
Satna,0
Motihari[34],0
Jalna,0
Jalandhar,0
Unnao,0
Udupi,0
Karnal,0
Cuttack,0
Proddatur,1
Ichalkaranji,1
Warangal[11][12],0
Jhansi,0
Bulandshahr,0
Narasaraopet,0
Chinsurah,0
Jehanabad[38],1
Kamarhati,0
Raichur,0
Dhanbad,0
Gudivada,0
Amravati,1
Gandhidham,0
Raiganj,0
Ajmer,0
Kishanganj[35],1
Varanasi,1
Belgaum,0
Tirupati[21][22],0
Tumkur,1
Unnao,0
Coimbatore,0
Miryalaguda,1
Kulti,0
Kurnool[18],0
Gurgaon,0
Muzaffarnagar,1
Aurangabad,0
Bhavnagar,0
Chinsurah,0
Bidar,0
Ozhukarai,0
Arrah,0
Munger,1
Tirunelveli,1
Mumbai,1
Bidhannagar,0
Srinagar,1
Indore,1
Satna,0
Proddatur,0
Mango,0
Nashik,0
Morbi,0
Adoni,0
Tirupati[21][22],0
Patna,0
Bidhannagar,0
Kadapa[23],0
Amritsar,0
"Khora,_Ghaziabad",0
Ambala,1
Agra,0
Thanjavur,0
Kanpur,0
Siwan[32],0
Gopalpur,0
Kadapa[23],0
Ambattur,0
Mirzapur,1
Berhampore,1
Ratlam,0
Surendranagar_Dudhrej,0
Delhi_city,0
Nagaon,0
Bhopal,0
Delhi_city,0
Hapur,0
Rohtak,0
Motihari[34],0
Durg,0
Ambarnath,1
Kanpur,1
Korba,0
Bangalore,0
Shivpuri,0
Ichalkaranji,0
Thrissur,0
Bhavnagar,0
Vijayanagaram,0
Howrah,0
Farrukhabad,1
Bhopal,1
Nangloi_Jat,1
Madanapalle,0
Bangalore,0
Parbhani,0
Raiganj,1
Eluru[25],0
Thoothukudi,0
Nagercoil,0
Satna,0
Gaya,0
Chandigarh_city,0
Ongole,0
Jammu[16],0
Kakinada,0
Dewas,1
Ambala,0
Shivpuri,0
Unnao,0
Chandigarh_city,0
Bhalswa_Jahangir_Pur,0
Baranagar,0
Karimnagar,0
Shivpuri,0
Firozabad,0
Gudivada,1
Phusro,0
Allahabad,0
Guna,0
Thane,1
Etawah,0
Vasai-Virar,0
Pallavaram,1
Amritsar,0
Morena,0
Kulti,0
Amaravati,0
Siliguri,0
Ballia,0
Surat,0
Burhanpur,1
Phagwara,0
Khandwa,0
Hapur,0
Farrukhabad,0
Bulandshahr,0
Ichalkaranji,0
Amravati,1
Mumbai,0
Jhansi,0
Baranagar,0
Mau,0
Berhampore,0
Unnao,0
Gurgaon,0
Bhatpara,0
Mangalore,0
Rajpur_Sonarpur,0
Alwar,0
Kakinada,0
Bidar,0
Mirzapur,0
Mahbubnagar,0
Kanpur,0
Ambala,1
Amaravati,0
Maheshtala,0
Ghaziabad,1
South_Dumdum,0
Thoothukudi,0
Jehanabad[38],0
Morena,0
Hazaribagh,0
Kanpur,1
Eluru[25],0
Bihar_Sharif,0
Faridabad,0
Phusro,1
Lucknow,0
Tenali,0
Barasat,1
Bangalore,0
Amroha,0
Giridih,0
Begusarai,0
Medininagar,1
Ambattur,0
Amravati,0
Rajahmundry[19][20],0
Sonipat,1
Medininagar,0
Gandhidham,0
Bhusawal,0
Saharsa[29],0
Haridwar,0
Siliguri,1
Ongole,1
New_Delhi,1
Cuttack,0
Jalna,0
Vijayanagaram,0
Meerut,0
Bhilai,1
Kottayam,0
Coimbatore,1
Moradabad,0
Berhampore,0
Suryapet,0
Machilipatnam,0
Panihati,0
Dhanbad,0
Singrauli,0
Mira-Bhayandar,0
Bhagalpur,0
Pali,0
Navi_Mumbai,1
Mehsana,0
Singrauli,0
Tiruppur,1
Bhavnagar,0
Imphal,0
Burhanpur,1
Vasai-Virar,0
Kolkata,0
Panihati,0
Kamarhati,0
Sambalpur,0
Jammu[16],0
Mangalore,0
Ujjain,1
Madhyamgram,0
Jabalpur,0
Jalandhar,0
Jamalpur[36],0
Ahmedabad,0
Phagwara,0
Proddatur,0
Gorakhpur,1
Ludhiana,0
Bareilly,0
Thane,0
Gangtok,0
Anand,0
Hospet,1
New_Delhi,0
Chennai,0
Shimla,0
Dehradun,0
Bareilly,0
Hospet,0
Danapur,0
Kota[6],0
Anantapuram[24],0
Sambalpur,0
Proddatur,0
Shimla,0
Kakinada,0
Bareilly,0
Pune,0
Satara,0
Alwar,1
Ballia,0
Vasai-Virar,0
Morbi,1
Anand,0
Srikakulam,0
Agra,0
Raipur,1
Jodhpur,0
Jamnagar,0
Darbhanga,1
Meerut,0
Ambattur,0
Ajmer,0
Nizamabad,0
Belgaum,0
Meerut,1
Ambarnath,0
Gulbarga,1
Korba,0
Belgaum,0
Nandyal,0
Dehri[30],0
Jorhat,0
Baranagar,0
Ranchi,0
Serampore,0
Dehradun,0
Kumbakonam,0
Malegaon,1
Cuttack,0
Panvel,1
Davanagere,1
Parbhani,0
Shimla,0
Dehri[30],0
Guntakal,0
Sagar,0
Secunderabad,1
Shivpuri,0
Haldia,0
Moradabad,0
Tirunelveli,0
Vijayanagaram,0
Loni,0
Delhi_city,0
Pimpri-Chinchwad,0
Rajkot,0
Nanded,0
Shimoga,0
Aizawl,0
Nadiad,0
Raipur,0
Guna,0
Ranchi,0
Akola,0
Machilipatnam,0
Noida,0
Kulti,0
Aurangabad,1
Madanapalle,0
Ambattur,0
Suryapet,0
Gaya,1
Tiruchirappalli[10],1
Bellary,0
Kolkata,0
Kirari_Suleman_Nagar,1
Shivpuri,0
Jaunpur,1
Ujjain,0
Bilaspur,0
Sambhal,0
Bhatpara,0
Dhule,1
Danapur,1
Ghaziabad,0
Rourkela,1
Korba,0
Malda,0
Thiruvananthapuram,0
Dharmavaram,0
Kulti,0
Coimbatore,1
Nellore[14][15],0
Miryalaguda,0
Berhampore,0
Ludhiana,0
Sambhal,0
Surat,1
Dehradun,0
Ulhasnagar,0
Aizawl,0
Visakhapatnam[4],0
Faridabad,0
Karawal_Nagar,0
Dhule,0
Kottayam,0
Giridih,0
Jaipur,1
South_Dumdum,0
Aligarh,0
Visakhapatnam[4],1
Haridwar,0
Ranchi,0
Avadi,0
Vellore,0
Tumkur,0
Dhule,0
Raipur,0
Bhimavaram,0
Thanjavur,0
Bardhaman,1
Ulhasnagar,0
Nizamabad,0
Tiruppur,0
Nagaon,0
Mau,1
Sambalpur,1
Jehanabad[38],0
Kadapa[23],1
Kolkata,0
Jamshedpur,0
Ujjain,0
Arrah,0
Kishanganj[35],0
Hapur,0
Purnia[26],1
Tirunelveli,0
Silchar,0
Gulbarga,0
Suryapet,0
Buxar[37],1
Bardhaman,0
Ambattur,0
Jhansi,0
New_Delhi,0
Indore,0
Raiganj,0
Gulbarga,0
Buxar[37],0
Nanded,0
Gudivada,1
Jabalpur,0
Pimpri-Chinchwad,0
Kavali,0
South_Dumdum,0
Gulbarga,0
Danapur,0
Kollam,1
Dibrugarh,1
Thane,0
Siliguri,0
Anand,0
Thane,0
Thiruvananthapuram,0
Ambattur,1
Tiruchirappalli[10],0
Ballia,0
Bulandshahr,1
Deoghar,0
Saharanpur,0
Bilaspur,0
Agartala,0
Gorakhpur,1
Bidar,0
Nadiad,0
Baranagar,0
Farrukhabad,1
Dhanbad,0
Gurgaon,1
Thrissur,0
Giridih,1
Tezpur,0
Kakinada,0
Hajipur[31],1
Firozabad,1
Mango,1
Allahabad,0
Bhusawal,1
Guna,0
Ongole,1
Ramagundam[27],1
Jehanabad[38],0
Panvel,1
Raipur,0
Danapur,0
Yamunanagar,0
Kochi,1
Sri_Ganganagar,0
Singrauli,0
Madurai,1
Muzaffarnagar,0
Nagpur,0
Gaya,0
Indore,0
Nagaon,0
Guna,0
Jaipur,0
Malegaon,0
Morbi,0
Buxar[37],0
Silchar,0
Unnao,0
Raichur,0
Darbhanga,0
Cuttack,0
Sasaram[30],0
Visakhapatnam[4],0
Mumbai,0
Hazaribagh,0
Sikar,0
Visakhapatnam[4],0
Bally,0
Yamunanagar,0
Aligarh,0
Bhiwani,0
Navi_Mumbai,0
Aizawl,0
Rampur,0
Panihati,0
Bally,0
Delhi_city,1
Erode[17],0
Malda,0
Panihati,0
Dewas,0
Thiruvananthapuram,0
Pallavaram,0
Deoghar,0
Kalyan-Dombivli,0
Bidhannagar,0
Guntakal,1
Raiganj,1
Asansol,0
Lucknow,0
Belgaum,0
Uluberia,0
Anantapuram[24],0
Amaravati,0
Buxar[37],0
Parbhani,0
Kozhikode,0
Munger,0
Hapur,0
Adoni,0
Alappuzha,0
Mau,0
Hapur,0
Barasat,1
Madhyamgram,0
Vijayanagaram,0
Tirunelveli,0
